Delta;Period;Time;Area Change (km2/y);Error Margin Ec in (km2/y);Mean Area Change (expected value);Standard Deviation (corrected);Standard Error;Delta Area (m2);;;Source;HydroSheds BasinID2 (Nienhuis et al)
Adra;2002-2015;;-0,0006;0,009;-0,002372941;0,004415427;0,002207714;5991,819886;;;1;
;1984-2019;;-0,008962967;0,050577565;;;;;;;2;3123435
;1984-2019;;-0,000360677;;;;;;;;2;3123435
;1985-2015;;0,000431881;;;;;;;;2;3123435
;;;;;;;;;;;;
;;;;;;;;;;;;
Amazon;1984-2015;;2,978;0,0092;14,10539997;8,712327935;4,356163968;34640080228;;;1;
;1984-2019;;13,10808702;19,70474553;;;;;;;2;540974
;1984-2019;;24,00155215;;;;;;;;2;540974
;1985-2015;;16,33396073;;;;;;;;2;540974
;;;;;;;;;;;;
;;;;;;;;;;;;
Arno;2004-2015;;-0,002;0,0093;-0,011341718;0,008009019;0,003581742;658326,5966;;;1;
;1984-2019;;-0,013026822;0,003696077;;;;;;;2;2042065
;1984-2019;;-0,016881521;;;;;;;;2;2042065
;1985-2015;;-0,004228821;;;;;;;;2;2042065
;1984-2019;;-0,020571429;;;;;;;;3;
;;;;;;;;;;;;
Ayeyarwady;1974-2015;;1,126;0,0088;0,246228732;2,483810492;1,241905246;27541099721;;;1;
;1984-2019;;-3,435174979;14,1615768;;;;;;;2;3032116
;1984-2019;;2,005263284;;;;;;;;2;3032116
;1985-2015;;1,288826623;;;;;;;;2;3032116
;;;;;;;;;;;;
;;;;;;;;;;;;
Brazos;1995-2015;;-0,21;0,0091;-0,045177587;0,111189711;0,055594856;735859120,1;;;1;
;1984-2019;;-0,001006157;0,079980319;;;;;;;2;4281751
;1984-2019;;-0,003474432;;;;;;;;2;4281751
;1985-2015;;0,033770241;;;;;;;;2;4281751
;;;;;;;;;;;;
;;;;;;;;;;;;
Burdekin;1974-2015;;-0,156;0,0085;-0,014502694;0,136045755;0,068022878;596538011,8;;;1;
;1984-2019;;-0,101981458;0,148709652;;;;;;;2;866167
;1984-2019;;0,128588668;;;;;;;;2;866167
;1985-2015;;0,071382013;;;;;;;;2;866167
;;;;;;;;;;;;
;;;;;;;;;;;;
Ceyhan-Seyhan;1984-2015;;-0,198;0,0093;-0,024250205;0,161235272;0,072106606;148278984,6;;;1;
;1984-2019;;0,077781533;0,128825848;;;;;;;2;3173945
;1984-2019;;0,145085456;;;;;;;;2;3173945
;1985-2015;;0,049310559;;;;;;;;2;3173945
;1984-2019;;-0,195428571;;;;;;;;3;
;;;;;;;;;;;;
Chang Jiang;1974-2010;;18,5;0,0086;10,03496135;5,688093756;2,844046878;2911256703;;;1;
;1984-2019;;7,336834748;1,726694581;;;;;;;2;1780166
;1984-2019;;6,286107171;;;;;;;;2;1780166
;1985-2015;;8,016903479;;;;;;;;2;1780166
;;;;;;;;;;;;
;;;;;;;;;;;;
Chao Phraya;1996-2015;;-0,441;0,0091;-0,008686109;0,320134783;0,160067391;4110035021;;;1;
;1984-2019;;0,035396601;0,243992751;;;;;;;2;3279946
;1984-2019;;0,332498389;;;;;;;;2;3279946
;1985-2015;;0,038360574;;;;;;;;2;3279946
;;;;;;;;;;;;
;;;;;;;;;;;;
Colorado (Mx);1984-2016;;-0,511;0,0082;-1,216731764;0,846058888;0,423029444;264530664,9;;;1;
;1984-2019;;-2,333375128;0,778466969;;;;;;;2;4056471
;1984-2019;;-0,612482139;;;;;;;;2;4056471
;1985-2015;;-1,41006979;;;;;;;;2;4056471
;;;;;;;;;;;;
;;;;;;;;;;;;
Colorado (Tx);1930-2007;;-1,52;0,0078;-0,323986301;0,798681542;0,399340771;59274363,69;;;1;
;1984-2019;;0,015811931;0,117296896;;;;;;;2;4301321
;1984-2019;;0,079498823;;;;;;;;2;4301321
